anio_hecho;mes_hecho;dia_hecho;hora_hecho;minuto_hecho;fecha_hecho;edad;feminicidio;grupo_feminicidio;modalidad;estado_civil;grupo_armado;grupo_caracterizacion;medio_transporte;nivel_academico;ocupacion;sexo;comuna_hecho;codigo_barrio_hecho;codigo_comuna_hecho;barrio_hecho
2016;1;13;8;5;13/1/2016;30;No aplica;No aplica;Arma de fuego;Soltero;NA;Grupos Delincuenciales Organizados;Caminata;Primaria;Oficial construcción;Masculino;Villa Hermosa;0814;08;San Antonio
2016;1;13;14;30;13/1/2016;58;No aplica;No aplica;Cortopunzante;Unión marital de hecho;NA;Homicidios asociados a hurtos;Caminata;Primaria;Vendedor ambulante;Masculino;La Candelaria;1019;10;La Candelaria
2016;1;14;0;5;14/1/2016;33;No aplica;No aplica;Arma de fuego;NA;NA;Grupos Delincuenciales Organizados;NA;NA;NA;Masculino;La Candelaria;1005;10;Estación Villa
2016;1;14;14;22;14/1/2016;29;No aplica;No aplica;Arma de fuego;Unión marital de hecho;NA;Grupos Delincuenciales Organizados;Caminata;Bachillerato;Barbero;Masculino;Castilla;0511;05;Castilla
2016;1;15;16;27;15/1/2016;56;No aplica;No aplica;Cortopunzante;Soltero;NA;Homicidios asociados a hurtos;NA;Bachillerato;Docente;Masculino;Robledo;Inst_7;07;Ecoparque Cerro El Volador
2016;1;15;22;0;15/1/2016;18;No aplica;No aplica;Arma de fuego;Soltero;NA;Grupos Delincuenciales Organizados;Motocicleta;Bachillerato;NA;Masculino;Castilla;0513;05;Francisco Antonio Zea
2016;1;15;23;52;15/1/2016;24;No aplica;No aplica;Arma de fuego;NA;NA;En proceso de categorización;NA;NA;NA;Masculino;Robledo;0718;07;Cucaracho
2016;1;16;1;30;16/1/2016;27;No aplica;No aplica;Asfixia mecánica;NA;NA;Grupos Delincuenciales Organizados;Taxi;NA;NA;Masculino;Aranjuez;0405;04;Moravia
2016;1;16;5;15;16/1/2016;34;No aplica;No aplica;Arma de fuego;Casado;NA;Convivencia;Motocicleta;Bachillerato;Empleado sector privado;Masculino;Robledo;0703;07;San Germán
2016;1;16;11;59;16/1/2016;21;No aplica;No aplica;Arma de fuego;Soltero;NA;Grupos Delincuenciales Organizados;Caminata;Bachillerato;Desempleado;Masculino;Robledo;0725;07;Nueva Villa de la Iguaná
2016;1;17;1;15;17/1/2016;36;No aplica;No aplica;Cortopunzante;Unión marital de hecho;NA;Convivencia;Caminata;NA;Oficial construcción;Masculino;Buenos Aires;0917;09;Ocho de Marzo
2016;1;18;7;0;18/1/2016;19;No aplica;No aplica;Cortopunzante;Soltero;NA;Grupos Delincuenciales Organizados;NA;NA;Desempleado;Masculino;Robledo;0709;07;Córdoba
2016;1;19;0;40;19/1/2016;21;No aplica;No aplica;Cortopunzante;Soltero;NA;Convivencia;Caminata;Primaria;Vendedor ambulante;Masculino;La Candelaria;1019;10;La Candelaria
2016;1;19;2;30;19/1/2016;30;No aplica;No aplica;Arma de fuego;NA;NA;En proceso de categorización;Caminata;NA;NA;Masculino;Robledo;0712;07;Aures No.2
2016;1;19;2;50;19/1/2016;25;No aplica;No aplica;Ahorcamiento o estrangulamiento;NA;NA;Grupos Delincuenciales Organizados;Automóvil;NA;NA;Masculino;Aranjuez;0415;04;Miranda
2016;1;20;11;3;20/1/2016;24;No aplica;No aplica;Arma de fuego;Soltero;NA;Homicidios asociados a hurtos;Motocicleta;Bachillerato;Desempleado;Masculino;La Candelaria;1012;10;Perpetuo Socorro
2016;1;20;19;20;20/1/2016;19;Amistad;Si;Ahorcamiento o estrangulamiento;NA;NA;Convivencia;Caminata;NA;NA;Femenino;Buenos Aires;0903;09;Bomboná No.2
2016;1;21;0;35;21/1/2016;20;No aplica;No aplica;Cortopunzante;NA;NA;Grupos Delincuenciales Organizados;Caminata;NA;NA;Masculino;La Candelaria;1018;10;Villa Nueva
2016;1;21;20;0;21/1/2016;21;No aplica;No aplica;Arma de fuego;Soltero;NA;Grupos Delincuenciales Organizados;Caminata;Bachillerato;Oficios varios;Masculino;San Cristóbal;6014;60;La Loma
2016;1;22;0;0;22/1/2016;35;No aplica;No aplica;Asfixia mecánica;NA;NA;En proceso de categorización;Caminata;NA;NA;Masculino;Castilla;Inst_1;05;Plaza de Ferias
2016;1;24;7;38;24/1/2016;17;No aplica;No aplica;Tóxico o agente químico;Soltero;NA;Violencia intrafamiliar;Caminata;NA;Estudiante;Masculino;San Antonio de Prado;AUC2;80;Área Urbana Cgto. San Antonio de Prado
2016;1;24;12;10;24/1/2016;45;No aplica;No aplica;Arma de fuego;Soltero;NA;En procedimiento de la fuerza pública;Caminata;Primaria;Conductor;Masculino;Castilla;0511;05;Castilla
2016;1;24;22;15;24/1/2016;28;No aplica;No aplica;Arma de fuego;Unión marital de hecho;NA;Grupos Delincuenciales Organizados;Caminata;NA;Mensajero;Masculino;Robledo;0711;07;El Diamante
2016;1;24;23;30;24/1/2016;20;No aplica;No aplica;Cortopunzante;Soltero;NA;Convivencia;Caminata;NA;NA;Masculino;Robledo;0723;07;Pajarito
2016;1;25;20;35;25/1/2016;74;No aplica;No aplica;Cortopunzante;Soltero;NA;Homicidios asociados a hurtos;Caminata;Primaria;Desempleado;Masculino;Villa Hermosa;0808;08;Enciso
2016;1;26;15;7;26/1/2016;39;No aplica;No aplica;Cortopunzante;Unión marital de hecho;NA;Convivencia;Caminata;Primaria;Soldador;Masculino;La Candelaria;1018;10;Villa Nueva
2016;1;26;22;0;26/1/2016;20;No aplica;No aplica;Arma de fuego;NA;NA;Grupos Delincuenciales Organizados;Caminata;NA;NA;Masculino;Robledo;0719;07;Fuente Clara
2016;1;27;7;30;27/1/2016;23;Expareja;Si;Cortopunzante;Unión marital de hecho;NA;Violencia de género;Motocicleta;Bachillerato;Oficios varios;Femenino;San Sebastián de Palmitas;5005;50;Volcana Guayabal
2016;1;27;16;35;27/1/2016;41;No aplica;No aplica;Arma de fuego;Soltero;NA;Grupos Delincuenciales Organizados;Automóvil;Bachillerato;Oficios varios;Masculino;El Poblado;1422;14;La Aguacatala
2016;1;28;6;30;28/1/2016;30;No aplica;No aplica;Asfixia mecánica;Unión marital de hecho;NA;En proceso de categorización;Caminata;Bachillerato;Conductor;Masculino;Robledo;0710;07;López de Mesa
2016;1;29;3;50;29/1/2016;26;No aplica;No aplica;Cortopunzante;NA;NA;Grupos Delincuenciales Organizados;NA;NA;NA;Masculino;Robledo;0718;07;Cucaracho
2016;1;30;2;57;30/1/2016;33;No aplica;No aplica;Arma de fuego;NA;NA;Convivencia;Caminata;NA;NA;Masculino;Belén;1603;16;Belén
2016;1;31;21;18;31/1/2016;21;No aplica;No aplica;Cortopunzante;Unión marital de hecho;NA;Convivencia;Caminata;Primaria;Vendedor ambulante;Masculino;Popular;0102;01;Santo Domingo Savio No.2
2016;1;31;22;30;31/1/2016;17;No aplica;No aplica;Cortopunzante;Soltero;NA;Grupos Delincuenciales Organizados;Motocicleta con parrillero;Primaria;Estudiante;Masculino;Aranjuez;0408;04;San Pedro
2016;2;1;19;30;1/2/2016;29;No aplica;No aplica;Arma de fuego;NA;NA;Grupos Delincuenciales Organizados;Motocicleta con parrillero;NA;NA;Masculino;Robledo;Inst_7;07;Ecoparque Cerro El Volador
2016;2;2;23;0;2/2/2016;18;No aplica;No aplica;Arma de fuego;NA;NA;En proceso de categorización;NA;NA;NA;Masculino;San Cristóbal;6012;60;Pajarito S.C.
2016;2;4;3;54;4/2/2016;38;No aplica;No aplica;Arma de fuego;Casado;NA;En proceso de categorización;Automóvil;Bachillerato;Vendedor;Masculino;Robledo;0718;07;Cucaracho
2016;2;5;3;9;5/2/2016;21;No aplica;No aplica;Cortopunzante;Soltero;NA;Convivencia;Caminata;Bachillerato;Alistador o lavador de carros;Masculino;Belén;1601;16;Fátima
2016;2;5;3;45;5/2/2016;21;No aplica;No aplica;Asfixia mecánica;NA;NA;Grupos Delincuenciales Organizados;Caminata;NA;Taxista;Masculino;Belén;1620;16;El Nogal-Los Almendros
2016;2;6;1;2;6/2/2016;20;No aplica;No aplica;Arma de fuego;NA;NA;En proceso de categorización;NA;NA;NA;Masculino;San Cristóbal;6014;60;La Loma
2016;2;6;21;33;6/2/2016;19;No aplica;No aplica;Arma de fuego;NA;NA;Grupos Delincuenciales Organizados;Caminata;NA;NA;Masculino;Guayabal;1511;15;La Colina
2016;2;6;22;0;6/2/2016;5;No aplica;No aplica;Contundente;NA;NA;Violencia intrafamiliar;Caminata;NA;Estudiante;Masculino;La Candelaria;1018;10;Villa Nueva
2016;2;6;23;35;6/2/2016;30;No aplica;No aplica;Cortopunzante;Unión marital de hecho;NA;Violencia intrafamiliar;Caminata;NA;NA;Masculino;La Candelaria;1019;10;La Candelaria
2016;2;6;23;40;6/2/2016;38;No aplica;No aplica;Cortopunzante;Unión marital de hecho;NA;Convivencia;Caminata;Bachillerato;Operario;Masculino;San Antonio de Prado;AUC2;80;Área Urbana Cgto. San Antonio de Prado
2016;2;7;6;30;7/2/2016;30;No aplica;No aplica;Cortopunzante;Soltero;NA;Convivencia;Caminata;Bachillerato;Oficial construcción;Masculino;Aranjuez;0405;04;Moravia
2016;2;7;23;10;7/2/2016;19;No aplica;No aplica;Cortopunzante;NA;NA;Grupos Delincuenciales Organizados;Caminata;NA;Habitante de la calle;Masculino;Laureles Estadio;1105;11;Los Conquistadores
2016;2;8;11;40;8/2/2016;18;No aplica;No aplica;Arma de fuego;NA;NA;Grupos Delincuenciales Organizados;NA;NA;NA;Masculino;Santa Cruz;0204;02;La Frontera
2016;2;8;22;0;8/2/2016;20;No aplica;No aplica;Arma de fuego;NA;NA;Grupos Delincuenciales Organizados;NA;NA;NA;Masculino;Castilla;0501;05;Toscana
2016;2;9;2;32;9/2/2016;24;No aplica;No aplica;Arma de fuego;NA;NA;Grupos Delincuenciales Organizados;Caminata;NA;NA;Masculino;Doce de Octubre;0608;06;Picacho
2016;2;11;17;37;11/2/2016;29;No aplica;No aplica;Arma de fuego;NA;NA;Grupos Delincuenciales Organizados;Caminata;NA;Oficial construcción;Masculino;Belén;1610;16;El Rincón
2016;2;11;19;40;11/2/2016;34;No;No;Arma de fuego;Casado;NA;Homicidios culposos;Caminata;Bachillerato;Administrador;Femenino;La Candelaria;1016;10;Boston
2016;2;11;20;38;11/2/2016;33;No aplica;No aplica;Arma de fuego;Casado;NA;Grupos Delincuenciales Organizados;Motocicleta;Bachillerato;Mecánico automotriz;Masculino;La América;1209;12;Santa Mónica
2016;2;12;1;0;12/2/2016;23;No aplica;No aplica;Cortopunzante;NA;NA;Grupos Delincuenciales Organizados;NA;NA;Oficios varios;Masculino;Altavista;7007;70;San Jose del Manzanillo
2016;2;14;5;0;14/2/2016;23;No aplica;No aplica;Cortopunzante;Soltero;NA;Convivencia;Caminata;Primaria;Oficial construcción;Masculino;San Javier;1309;13;San Javier No.1
2016;2;14;7;30;14/2/2016;26;No aplica;No aplica;Arma de fuego;Unión marital de hecho;NA;Grupos Delincuenciales Organizados;Caminata;NA;Desempleado;Masculino;Doce de Octubre;0606;06;San Martín de Porres
2016;2;17;1;27;17/2/2016;40;No aplica;No aplica;Cortopunzante;NA;NA;Grupos Delincuenciales Organizados;Caminata;NA;Habitante de la calle;Masculino;La América;1202;12;Calasanz
2016;2;18;23;10;18/2/2016;39;No aplica;No aplica;Arma de fuego;Unión marital de hecho;NA;Grupos Delincuenciales Organizados;Caminata;Primaria;Plomero;Masculino;Robledo;0711;07;El Diamante
2016;2;18;23;20;18/2/2016;21;No aplica;No aplica;Cortopunzante;NA;NA;Grupos Delincuenciales Organizados;NA;NA;NA;Masculino;La América;1206;12;Santa Lucía
2016;2;18;23;40;18/2/2016;25;No aplica;No aplica;Cortopunzante;Soltero;NA;Convivencia;Caminata;Bachillerato;Oficios varios;Masculino;La Candelaria;1018;10;Villa Nueva
2016;2;19;6;16;19/2/2016;13;Pendiente subcategoría;Si;Cortopunzante;NA;NA;Convivencia;Caminata;Primaria;Estudiante;Femenino;Castilla;0509;05;Girardot
2016;2;19;17;15;19/2/2016;37;No aplica;No aplica;Cortopunzante;Unión marital de hecho;NA;Convivencia;Caminata;Bachillerato;Comerciante;Masculino;La Candelaria;1019;10;La Candelaria
